3	941
2	647
3	967
2	611
2	632
2	660
4	1305
2	622
2	599
4	1281
2	624
2	680
2	693
2	648
3	879
4	1209
2	651
2	675
8	2451
5	1563
3	918
3	952
5	1526
2	611
2	615
2	624
2	637
4	1211
2	681
2	657
2	634
2	540
2	646
2	557
2	650
5	1542
2	673
5	1491
2	550
2	649
5	1654
2	592
5	1501
2	677
2	612
2	597
2	628
2	624
6	1817
11	3481
3	940
2	618
2	610
4	1282
2	670
2	550
2	692
2	643
2	568
2	596
2	603
2	612
2	685
2	613
9	2856
3	1007
2	509
3	911
3	881
9	2782
2	638
2	648
2	590
2	642
55	17255
2	634
3	897
2	611
2	595
2	598
2	662
2	621
2	631
2	605
2	573
2	640
2	599
2	630
4	1269
2	621
2	656
2	608
4	1189
4	1218
2	690
2	616
4	1294
2	689
34	10543
2	629
3	934
2	644
2	633
2	703
3	915
2	632
2	603
4	1465
3	896
2	618
2	586
2	610
3	960
2	635
2	662
2	572
5	1570
5	1573
3	848
4	1199
3	966
2	549
2	704
12	3919
4	1214
2	619
7	2244
2	709
2	666
2	651
2	614
2	604
6	1928
2	572
4	1216
2	707
2	646
3	885
3	909
3	996
2	641
3	981
3	1008
7	2159
3	935
8	2604
3	911
2	628
3	908
3	1007
2	627
2	630
2	602
6	1876
2	594
2	579
7	2187
3	1047
2	710
2	690
2	581
2	644
2	565
2	693
3	924
2	572
4	1231
2	583
2	667
7	2183
2	610
3	1080
2	528
6	1840
2	632
2	635
2	588
2	635
9	2808
2	547
3	965
3	941
2	706
2	658
2	621
2	703
2	587
9	2838
2	636
2	618
2	602
2	642
2	658
3	954
2	577
3	975
2	604
2	620
2	629
9	2905
2	658
6	1961
2	644
4	1315
3	1039
2	565
2	630
2	595
4	1302
2	576
2	601
2	731
2	577
2	632
2	653
2	692
2	652
2	568
2	599
3	961
2	583
6	1766
2	593
4	1239
2	598
2	621
2	623
4	1284
6	1694
3	962
2	607
2	575
3	928
7	2233
9	3044
2	611
2	631
2	575
5	1463
2	713
2	572
2	668
22	6853
2	644
2	596
3	895
2	650
3	1011
4	1230
3	949
2	655
2	638
2	691
2	655
2	660
2	654
2	640
2	585
2	714
2	678
2	601
2	584
4	1192
2	676
5	1727
2	674
2	674
6	1909
2	623
8	2467
2	615
3	905
7	2239
6	1847
2	616
2	596
4	1166
2	575
2	654
4	1224
3	948
2	661
3	949
4	1255
3	1008
2	645
2	537
3	949
3	833
2	619
2	623
4	1335
3	896
2	609
2	596
2	568
2	596
2	683
3	830
2	646
2	611
2	600
2	617
2	659
2	611
2	687
2	631
2	664
2	683
2	627
2	638
2	692
3	950
12	3726
2	577
4	1195
2	628
2	627
2	626
2	594
2	639
2	628
2	631
2	613
4	1229
2	654
2	603
2	618
2	636
2	646
2	629
2	607
4	1200
2	656
3	888
2	599
2	637
3	917
2	655
3	901
2	586
2	656
3	890
2	611
2	635
4	1224
2	625
2	637
4	1336
2	574
2	665
2	615
2	658
2	543
2	634
2	648
3	875
2	677
4	1206
7	2242
2	653
5	1580
4	1328
3	876
2	576
4	1295
2	587
4	1267
2	627
6	1950
4	1235
2	554
2	550
2	623
2	630
2	641
2	625
3	969
4	1265
2	628
2	654
3	916
5	1665
2	629
4	1241
2	565
2	577
3	934
2	612
2	564
4	1186
2	670
2	628
2	634
2	618
4	1240
2	689
4	1330
2	547
2	649
2	593
3	997
3	872
2	663
3	963
2	598
2	596
5	1582
2	638
2	592
3	902
2	619
2	664
2	638
6	1833
3	986
2	631
2	664
2	646
2	690
2	667
2	632
3	931
2	609
2	734
2	627
2	635
2	698
3	965
2	640
2	664
2	643
2	561
6	1862
10	3316
3	896
2	603
2	700
2	596
2	592
3	998
2	675
2	653
2	509
3	912
2	639
2	632
3	882
2	585
3	929
2	659
2	611
2	603
2	665
2	624
2	649
2	653
2	612
2	709
4	1250
3	984
2	638
3	813
2	638
3	906
2	616
2	553
2	598
2	585
2	586
2	619
2	665
2	614
5	1611
3	1002
3	904
2	618
3	865
2	701
2	609
12	3745
3	958
2	617
2	627
2	658
3	919
3	898
3	939
2	563
10	3337
2	649
2	668
2	679
2	574
2	632
2	695
3	922
2	571
4	1230
2	553
2	664
45	14200
3	886
2	676
3	933
2	556
3	964
3	1013
3	935
2	611
2	653
2	647
4	1345
2	655
5	1572
2	600
7	2310
2	638
2	624
2	645
2	741
2	683
2	627
4	1242
2	596
3	925
2	658
2	686
2	575
2	615
2	675
3	883
4	1248
2	677
3	957
3	918
4	1246
2	605
2	561
2	643
3	919
2	662
2	658
3	814
2	702
2	598
3	886
9	2854
3	902
2	624
2	577
2	584
4	1284
2	657
5	1608
2	620
2	543
4	1338
3	1000
2	618
3	888
2	629
2	668
3	1013
3	910
4	1259
3	922
2	654
3	995
2	665
5	1561
4	1261
2	556
2	616
2	605
3	943
3	974
2	637
2	688
5	1649
3	916
10	3137
2	608
2	684
2	553
4	1194
5	1660
2	652
2	641
18	5684
2	557
5	1655
4	1260
4	1290
2	656
3	950
2	626
2	660
3	1008
2	686
2	610
3	971
2	615
2	620
2	565
2	635
3	907
4	1270
3	912
2	567
2	619
6	1756
2	549
2	622
2	631
2	668
2	577
3	909
3	924
2	730
2	614
3	963
2	589
2	601
2	644
2	599
2	559
2	647
3	989
8	2389
2	587
2	667
2	638
2	606
2	690
3	912
2	638
2	598
2	571
2	602
2	679
2	562
2	625
5	1557
2	632
2	609
3	898
3	966
2	716
2	585
2	739
2	603
2	597
3	974
2	625
3	963
2	620
2	599
3	968
2	611
2	582
7	2199
2	600
3	930
2	652
2	754
4	1195
3	924
2	677
8	2533
2	599
4	1278
2	620
2	633
2	660
2	591
2	652
4	1087
2	634
2	593
2	603
2	622
2	614
2	651
3	848
2	605
2	632
3	960
2	592
3	1016
2	548
5	1597
2	591
24	7763
2	606
2	630
2	643
2	561
3	1082
2	594
2	656
2	645
2	619
4	1266
2	770
2	626
5	1728
4	1343
2	600
2	637
7	2247
2	621
2	637
2	625
2	582
3	893
11	3644
2	650
2	622
5	1513
2	616
2	636
8	2450
2	600
5	1542
2	608
2	648
2	605
2	633
3	865
2	554
2	653
2	542
2	617
2	620
2	607
2	559
3	912
2	687
2	699
2	625
3	944
2	694
3	953
2	623
2	646
3	993
2	608
2	660
2	622
2	692
2	639
3	901
6	2174
6	1897
3	962
5	1525
2	622
2	648
3	1051
2	612
3	954
2	642
2	635
3	937
2	603
4	1295
3	926
2	641
4	1291
2	638
3	818
4	1199
4	1337
2	640
7	2195
5	1495
2	638
2	582
3	927
2	610
4	1244
2	613
2	590
2	632
7	2257
2	606
2	628
2	653
5	1520
2	663
2	653
3	878
2	661
2	606
2	647
2	618
2	590
8	2550
6	1719
2	574
12	3642
4	1214
3	904
3	998
3	963
2	659
2	671
2	614
3	898
2	657
8	2407
2	659
2	639
3	980
2	612
2	654
2	618
2	635
4	1154
2	583
2	652
6	1957
4	1289
8	2490
2	573
3	922
2	570
2	655
2	624
5	1496
7	2272
2	603
4	1167
2	663
2	653
2	560
2	624
2	681
15	4828
2	549
3	917
2	650
2	633
2	657
2	582
2	577
2	599
5	1543
5	1565
2	574
2	635
4	1255
3	892
2	656
2	605
2	606
2	573
2	639
3	1001
3	1048
2	632
2	632
3	979
2	621
11	3502
5	1456
40	12513
2	633
2	604
2	668
2	643
2	594
2	615
5	1651
2	654
5	1572
2	582
2	595
10	3245
5	1542
2	576
5	1588
2	652
5	1476
4	1195
2	602
2	658
2	656
2	642
3	862
2	671
2	597
2	597
3	936
11	3489
2	615
6	1924
2	635
2	632
3	968
6	1838
3	924
3	896
3	881
3	942
2	602
2	639
3	956
3	932
6	1907
2	557
2	584
2	652
3	895
4	1261
2	620
2	638
4	1262
2	643
3	973
2	593
2	644
2	631
2	491
2	611
3	953
2	603
2	648
2	625
2	625
4	1193
3	999
2	636
2	611
4	1329
6	1883
3	813
4	1232
2	692
2	643
5	1600
6	1865
2	640
2	668
2	627
2	649
2	565
2	643
3	981
2	619
4	1188
2	634
9	2746
2	615
13	3955
3	949
8	2348
3	957
2	633
3	924
2	611
2	571
2	633
3	931
2	649
2	669
2	576
2	678
3	1040
2	580
6	1777
2	639
2	669
8	2454
2	653
2	646
2	638
2	582
3	897
2	590
2	695
2	628
6	1859
2	620
2	619
2	622
5	1481
2	614
2	638
3	880
2	693
2	694
2	600
2	657
3	1002
2	647
3	976
2	656
6	1969
2	657
2	671
5	1613
2	687
2	600
2	651
2	645
2	577
4	1149
2	639
2	659
2	591
16	4750
2	611
3	849
2	644
2	626
2	577
2	687
2	644
3	917
4	1157
5	1519
2	663
2	646
2	649
2	679
3	931
6	1926
3	895
3	949
6	1928
12	3747
2	554
2	628
3	931
3	974
4	1225
2	704
3	952
2	675
4	1179
2	550
3	1007
3	1079
2	619
2	640
4	1183
2	606
2	639
19	6069
2	652
2	624
2	618
2	689
2	679
2	617
10	3143
2	584
2	621
2	656
3	955
3	973
3	927
2	682
5	1675
2	574
4	1179
3	975
2	602
2	667
2	615
2	641
2	573
2	637
2	517
4	1204
2	611
5	1538
4	1176
5	1531
2	683
2	657
2	625
2	624
2	599
2	588
3	910
2	605
5	1566
2	579
2	624
2	598
2	643
2	646
2	584
2	594
2	628
3	996
2	599
2	582
3	1016
2	686
2	600
3	883
2	566
2	646
3	898
2	590
2	616
3	993
5	1521
2	643
4	1231
2	551
2	655
2	521
2	631
2	673
3	985
2	672
2	632
4	1238
2	697
3	984
2	606
2	643
2	634
8	2672
4	1263
2	723
3	884
2	654
2	667
2	597
2	588
2	639
2	712
3	906
2	713
2	634
58	18055
2	597
2	595
2	643
2	674
2	674
6	1942
6	1892
25	7761
2	578
2	693
2	650
6	1936
21	6492
2	594
2	608
2	552
2	573
2	578
2	587
74	23197
4	1245
2	577
2	677
2	639
3	966
2	536
4	1211
2	580
2	621
3	935
4	1242
3	965
2	661
2	609
2	667
2	647
2	644
3	966
4	1265
7	2298
2	651
2	601
2	589
3	873
2	632
2	640
30	9223
2	583
2	571
2	668
3	897
3	892
3	963
3	905
2	635
2	631
2	653
3	969
3	1046
2	515
2	665
2	597
2	576
5	1475
30	9440
2	660
3	976
2	624
2	627
2	665
3	830
4	1230
2	721
10	3259
2	605
2	559
2	649
4	1260
4	1234
2	611
2	632
2	679
2	571
2	670
2	634
2	650
2	634
2	634
4	1172
4	1273
5	1527
2	641
3	906
6	1900
3	974
2	599
12	3687
3	947
2	696
2	598
2	695
2	664
2	581
2	569
3	864
2	678
2	664
2	600
3	1019
19	5917
2	570
3	974
2	551
2	642
2	656
2	594
2	583
6	1795
2	629
3	931
2	714
3	948
3	922
3	893
2	702
2	655
2	656
3	959
2	661
3	936
2	750
2	644
4	1324
2	558
3	891
3	962
2	655
6	1893
2	631
2	645
6	1883
2	621
2	589
2	646
2	612
3	959
2	639
3	931
2	557
2	596
3	910
2	683
2	620
2	735
2	616
2	636
2	679
2	670
2	651
2	620
2	623
2	581
8	2651
3	941
3	882
3	982
2	606
4	1353
2	604
2	612
2	613
2	660
3	919
3	1069
7	2145
2	652
2	694
3	964
2	670
2	661
2	603
5	1568
2	685
2	580
2	645
4	1279
2	656
2	629
2	560
2	646
2	643
3	927
2	658
3	959
4	1276
3	951
2	601
2	616
3	877
2	686
2	560
7	2244
6	1862
2	590
2	558
9	2767
2	572
2	641
2	678
2	649
3	925
3	991
2	622
2	685
3	925
2	623
2	671
2	669
2	659
6	1757
2	685
2	607
2	663
2	641
2	598
2	621
7	2130
2	645
42	12764
2	569
2	634
2	629
2	630
6	1810
2	627
3	927
2	644
2	638
2	616
3	944
2	553
2	631
2	660
3	923
2	624
2	594
2	621
4	1237
2	610
3	1048
2	645
2	647
10	3148
3	972
2	751
2	642
2	608
3	917
2	647
2	588
2	626
5	1482
2	679
2	658
3	939
2	538
2	728
3	976
3	1003
4	1301
2	630
2	609
2	743
3	850
3	946
2	592
2	683
3	863
3	862
4	1329
3	1025
2	614
3	882
2	677
2	629
12	3799
3	1017
5	1604
2	624
3	918
2	622
2	684
2	599
2	578
2	621
2	644
3	964
2	641
2	739
3	931
2	672
2	606
2	617
2	599
2	664
4	1252
2	632
4	1245
9	2852
2	698
2	568
2	722
6	1949
5	1585
2	626
2	652
2	609
2	700
4	1177
3	956
2	708
3	975
5	1624
2	587
4	1287
2	637
2	606
2	635
2	557
2	583
3	947
2	665
2	591
4	1220
6	1962
2	626
2	640
3	1035
2	694
2	633
2	763
3	884
3	974
4	1279
3	951
2	710
2	671
4	1353
2	610
5	1538
2	678
2	670
12	3661
2	640
5	1525
2	682
3	914
3	923
2	643
2	686
13	4172
2	629
2	637
4	1221
2	562
2	667
3	957
5	1532
5	1495
3	980
2	617
2	659
6	1794
5	1527
3	1081
3	845
2	616
3	881
2	600
59	18087
2	581
2	609
3	878
3	959
2	671
2	595
2	679
2	722
3	940
2	613
3	966
2	521
3	982
5	1563
2	633
2	646
2	594
2	693
2	528
2	648
3	989
2	630
4	1234
2	669
2	622
3	928
2	558
37	11566
3	930
2	603
7	2250
13	4085
4	1282
2	628
6	1868
2	573
3	918
2	662
2	636
2	629
2	615
2	581
2	714
2	658
2	599
2	584
3	853
2	734
2	672
3	879
2	612
2	733
4	1186
2	535
4	1263
2	611
3	1015
6	1791
4	1348
3	916
2	583
6	1846
3	1003
2	705
7	2214
2	666
2	638
3	997
2	585
2	673
2	655
2	660
2	643
2	665
2	622
4	1355
12	3616
2	557
3	1011
2	620
2	606
2	642
6	1947
2	694
2	620
2	650
2	619
2	603
25	7707
2	646
2	659
2	581
2	691
2	652
2	736
8	2479
2	686
2	602
3	930
38	11770
2	632
2	657
2	655
2	675
2	545
2	607
6	1964
5	1540
2	636
3	889
3	921
2	601
4	1274
2	672
2	633
2	639
7	2155
2	630
2	696
4	1213
2	638
3	829
2	643
2	676
2	651
2	617
2	794
4	1246
2	580
3	971
2	670
2	616
2	651
23	7355
2	647
12	3739
2	612
2	588
2	667
3	917
2	604
3	929
2	612
2	636
2	654
2	629
5	1587
5	1545
2	527
2	593
3	891
2	704
2	616
2	617
2	633
3	899
4	1201
